,Team,Played (Home),Played (Away),Total Played,Wins (Home),Wins (Away),Total Wins,Draws (Home),Draws (Away),Total Draws,Losses (Home),Losses (Away),Total Losses,Goals For (Home),Goals For (Away),Total Goals For,Goals Against (Home),Goals Against (Away),Total Goals Against,Formation,Games Played (Formation),Season
26,Southampton,19,19,38,2,4,6,5,2,7,12,13,25,19,17,36,37,36,73,['4-2-3-1' '4-4-2' '5-3-2' '3-4-2-1' '4-3-3' '3-1-4-2' '3-4-1-2' '4-1-4-1'],[15 13  3  2  2  1  1  1],2022
27,Arsenal,19,19,38,14,12,26,3,3,6,2,4,6,53,35,88,25,18,43,['4-3-3' '4-2-3-1'],[34  4],2022
28,Everton,19,19,38,6,2,8,3,9,12,10,8,18,16,18,34,27,30,57,"['4-3-3' '4-5-1' '4-2-3-1' '3-4-3' '5-4-1' '3-4-2-1' '4-1-4-1' '4-4-2'
 '5-3-2' '3-5-2']",[11  7  7  3  2  2  2  2  1  1],2022
29,Leicester,19,19,38,5,4,9,4,3,7,10,12,22,23,28,51,27,41,68,['4-2-3-1' '4-1-4-1' '4-3-3' '3-5-1-1' '4-4-2' '3-4-3' '3-4-2-1' '5-3-2'],[16 11  3  2  2  2  1  1],2022
30,Tottenham,19,19,38,12,6,18,1,5,6,6,8,14,37,33,70,25,38,63,['3-4-2-1' '3-5-2' '3-4-3' '4-4-2' '5-3-2' '4-3-3'],[24  4  4  3  1  1],2022
31,West Ham,19,19,38,8,3,11,4,3,7,7,13,20,26,16,42,24,31,55,['4-2-3-1' '4-3-3' '3-4-2-1' '4-4-2' '3-5-2' '3-4-1-2' '3-4-3' '4-1-4-1'],[20  7  5  2  1  1  1  1],2022
32,Chelsea,19,19,38,6,5,11,7,4,11,6,10,16,20,18,38,19,28,47,"['4-2-3-1' '4-3-3' '3-4-2-1' '3-4-3' '3-5-2' '4-2-2-2' '4-4-2' '3-1-4-2'
 '3-5-1-1' '3-4-1-2']",[9 8 7 4 4 2 1 1 1 1],2022
33,Manchester City,19,19,38,17,11,28,1,4,5,1,4,5,60,34,94,17,16,33,['4-3-3' '3-2-4-1' '4-2-3-1' '3-4-2-1' '4-1-4-1' '3-4-3' '4-4-2' '3-3-1-3'],[13 12  8  1  1  1  1  1],2022
34,Brighton,19,19,38,10,8,18,4,4,8,5,7,12,37,35,72,21,32,53,['4-2-3-1' '3-4-2-1' '4-4-2' '3-4-1-2' '3-5-2' '3-3-3-1' '3-5-1-1'],[25  4  3  2  2  1  1],2022
35,Crystal Palace,19,19,38,7,4,11,7,5,12,5,10,15,21,19,40,23,26,49,['4-3-3' '4-2-3-1' '5-4-1' '4-1-4-1' '4-4-2'],[17 16  2  2  1],2022
36,Brentford,19,19,38,10,5,15,7,7,14,2,7,9,35,23,58,18,28,46,['4-3-3' '3-5-2' '5-3-2'],[21 10  7],2022
37,Leeds,19,19,38,5,2,7,7,3,10,7,14,21,26,22,48,37,41,78,['4-2-3-1' '4-3-3' '3-4-3' '5-4-1'],[32  4  1  1],2022
38,Nottingham Forest,19,19,38,8,1,9,6,5,11,5,13,18,27,11,38,24,44,68,['3-4-2-1' '4-3-3' '4-3-2-1' '3-4-1-2' '4-3-1-2' '4-2-3-1' '5-3-2'],[9 9 6 5 5 3 1],2022
39,Aston Villa,19,19,38,12,6,18,2,5,7,5,8,13,33,18,51,21,25,46,['4-4-2' '4-2-3-1' '4-3-3' '4-3-2-1' '4-3-1-2' '4-2-2-2'],[15 11  6  3  2  1],2022
